Kalimat;Label
Kita harus melihat bagaimana keadaannya;24
Mungkin keberuntungan akan membaik;24
Aku ingin memasak makan malam sendiri;13
Aku membawa keripik kentang;13
Apa yang biasanya Anda makan?;13
Apa rencanamu hari ini?;19
Selamat datang di perusahaan kami;34
Mengapa kamu menangis?;19
Lagi sibuk apa akhir-akhir ini?;7
Saya menantikan bimbingan Anda;34
Cepatlah, kita akan terlambat;23
Semua orang sedang membicarakan hal ini;24
Apakah kamu sudah siap?;19
Anda ingin ayam atau daging sapi?;13
Bercandaanmu sudah keterlaluan;12
Terima kasih sudah membantu saya;6
Saya ingin mencicipi hidangan khas lokal;13
Tetangga baru itu sangat menyebalkan;24
Saya ingin steak dengan tingkat kematangan medium;13
Setiap hari hanyalah rutinitas biasa;23
Tentu saja tidak masalah;19
Kami baru saja bertengkar;9
Butuh bantuan apa?;6
Saya tidak ingin bekerja sama dengannya lagi;24
Mohon berikan nomor telepon yang bisa dihubungi;5
Deskripsi ciri-ciri perampok;24
Terima kasih atas jamuannya;34
Saya hanya ingin membantu;6
Beberapa bulan terakhir ini kamu sangat sibuk;7
Kue itu kelihatannya sangat enak;13
Sama-sama, senang bisa membantu;6
Kamu membuatku sangat marah;19
Kudengar ada orang yang mendadak kaya raya;24
Sudah waktunya kita berpisah;9
Menurutku dia sangat cerdas;24
Semoga penerbangan Anda lancar;34
Tolong bantu saya membersihkan dapur;6
Saya tidak bisa mengabaikan sarannya;24
Bisakah Anda tinggal beberapa hari lagi?;19
Mari kita pergi makan sesuatu;13
Mohon tunggu beberapa menit;5
Saya ingin menanyakan waktu penerbangan;23
Saya datang ke sini untuk menemui Anda;9
Sikapnya benar-benar buruk;24
Kamu terlalu ragu-ragu dalam bertindak;19
Maaf, kemarin saya yang salah;12
Masih pagi, tidak akan terlambat;23
Besok saya berencana memotong rumput dan merapikan kebun;23
Saya harus pergi, sampai jumpa;9
Apa yang ingin kamu lakukan sore ini?;23
Tolong isi penuh bensinnya, terima kasih;34
Hubungi aku besok;23
Sudah berapa lama Anda seperti ini?;19
Bisa bantu saya mengatur komputer baru?;6
Dia sudah berada di dalam penjara;24
Membantu orang lain membawakan barang;6
Maaf menelepon semalam ini;12
Bolehkah saya memesan makanan sekarang?;13
Pidato di pemakaman itu sangat mengharukan;24
Makanan di sana lumayan enak;13
Dia mungkin sudah salah paham;12
Apakah Anda butuh bantuan mencari sesuatu?;6
Apa yang bisa saya bantu?;6
Banyak orang yang menghormatinya;24
Aku ingin makan sesuatu yang manis;13
Anda benar-benar sangat perhatian;19
Boleh tahu nama dan nomor telepon Anda?;5
Masa kegelapan akan segera berlalu;23
Perilaku Anda benar-benar keterlaluan;12
Bisakah kamu mengecilkan suaramu?;19
Saya sangat menghargai saran Anda;34
Apakah kamu bisa menggunakan sumpit?;13
Teman saya adalah seorang pengacara;24
Mengapa kamu melakukan hal itu?;19
Kita mungkin telah salah paham padanya;24
Dia adalah orang yang bijaksana;24
Tolong jelaskan arti kata ini;19
Saya ingin tahu jam buka perpustakaan;23
Jangan menyalahkannya lagi;12
Kamu pergi duluan, kita bertemu di taman;9
Saya tidak sengaja mengotori karpet;12
Dia tidak tahu bagaimana menghadapi kenyataan;24
Sudah lama tidak bertemu;9
Guru filsafat saya sangat humoris;24
Cukup sampai di sini untuk hari ini;9
Terima kasih banyak atas undangannya;34
Kita bisa pensiun lebih awal;23
Kemampuan memasakmu sangat bagus;13
Terima kasih atas kepercayaan Anda;34
Aku tidak sengaja bertemu teman lama di jalan;9
Saya akan membawakannya untuk Anda besok;23
Di mana alamat Anda?;5
Ada bau aneh di dapur;13
Anda sepertinya kurang enak badan;7
Saya harus pergi, sampaikan salam saya untuk keluarga;9
Apa yang sedang kamu lakukan sekarang?;19
Ini pasti hasil rekayasa seseorang;24
Senang bisa melayani Anda;34
Kami sudah tidak bertemu selama beberapa tahun;9
